,Turkish,English
28938,pasaportunu,your passport
28939,güçleniyor,strengthening
28940,suçluyorsunuz,you blame
28941,cincinnati,cinginnnti
28942,sopasıyla,with a stick
28943,yangına,to the fire
28944,key,key
28945,kalplerini,their hearts
28946,lobi,lobby
28947,damarları,veins
28948,rafta,on the shelf
28949,bakamaz,can not look
28950,zorladılar,they forced
28951,dayanmak,to resist
28952,günümüze,to the present day
28953,oğlunuza,To your son
28954,b.k,B.K
28955,demiri,iron
28956,sının,sink
28957,açmamı,my opening
28958,güvenmeye,to trust
28959,dikilmiş,sewn
28960,şöminenin,Fireplace
28961,slogan,slogan
28962,fax0.01,fax0.01
28963,bayanlara,to women
28964,selamımı,my greetings
28965,aslanın,your lion
28966,smithers,Smithers
28967,kanallar,channels
28968,yune,yun
28969,misyoner,missionary
28970,albany,Albany
28971,evliler,they married
28972,safsın,you are naive
28973,bekletme,standing
28974,bileziği,bracelet
28975,yerimden,out of my place
28976,terapistim,my therapist
28977,est,est
28978,giydi,wore
28979,çevresine,around
28980,sound,sound
28981,bitirmeliyim,I have to finish
28982,macbeth,macbeth
28983,inanmamızı,our belief
28984,altinda,under
28985,İtaat,Obedience
28986,cesaretimi,my courage
28987,notların,Your notes
28988,yesene,Yesene
28989,dumanlı,smoky
28990,kaleme,pen
28991,yavaşsın,you are slow
28992,too,too
28993,sarsılmış,shaken
28994,hesapta,in the account
28995,dertten,from trouble
28996,müşteriyle,with the customer
28997,şirketimiz,Our Company
28998,özrün,your apology
28999,diktatör,dictator
29000,ailedeki,in the family
29001,dizini,knee
29002,emniyetli,safe
29003,hatlarını,their lines
29004,sokmayı,sting
29005,hamileydi,He was pregnant
29006,geliştirdim,I developed
29007,karından,from your wife
29008,çıkarıyordu,was taking off
29009,azınlık,minority
29010,başlatılıyor,starting
29011,istasyonları,stations
29012,koguryo,koguryo
29013,çıkarmadım,I didn't take it out
29014,ayarlı,adjustable
29015,kapın,Cover
29016,atlayan,jumping
29017,geliri,income
29018,otları,herbs
29019,eşler,spouses
29020,dişe,tooth
29021,adresin,your address
29022,dergisinin,magazine
29023,sessizliğe,to silence
29024,linç,lynch
29025,palmiye,palm
29026,başlamayı,to start
29027,doldurmuş,filled
29028,muhalefet,opposition
29029,calleigh,Calleight
29030,okumalısın,you should read
29031,giyiniyor,dresses
29032,İstedim,I wanted
29033,maskesini,mask
29034,sağlığınıza,To your health
29035,bahsedecek,will talk about
29036,adami,man
29037,göçebe,wandering
29038,cephesi,façade
29039,öpeyim,Let me kiss
29040,takılıyordum,I was hanging out
29041,edebilirdin,you could
29042,sevmezdi,He didn't like it
29043,odanızda,in your room
29044,sivilleri,civilians
29045,bebeklere,to babies
29046,görünüşün,Your appearance
29047,yeteneklerine,their abilities
29048,vurulmak,be shot
29049,gülecek,laughing
29050,azalır,decreases
29051,hayatınla,with life
29052,küllerini,ashes
29053,açısına,to the angle
29054,senatörü,senator
29055,arasan,Arasan
29056,snake,snake
29057,getirebilecek,can bring
29058,halıyı,carpet
29059,umutsuzluğa,to despair
29060,zıvanadan,voiced
29061,şovunu,show
29062,yalvarıyor,begging
29063,şehirleri,cities
29064,garajı,garage
29065,pak,pure
29066,bedenleri,their bodies
29067,tanıyacak,will recognize
29068,öldürmeliyiz,we must kill
29069,taşıyorlar,they carry
29070,araştıran,investigator
29071,sanatçının,The artist
29072,ching,ching
29073,egzersizi,exercise
29074,generalim,GENERIM
29075,darla,narrow
29076,biletlerini,Tickets
29077,devrimin,my revolution
29078,gelmemesi,not to come
29079,eğilip,bending
29080,denis,denis
29081,dilinden,from the language
29082,beklersek,if we wait
29083,getirecektir,will bring
29084,göndermiştim,I sent it
29085,üşüyor,cold
29086,izleyeceksin,you will watch
29087,kasadan,from the safe
29088,başındayım,I'm in the head
29089,link,link
29090,dozu,dose
29091,ikincil,secondary
29092,tarafları,sides
29093,çalışanlara,to employees
29094,dediklerin,what you say
29095,planlıyordu,planning
29096,denemekten,from trying
29097,kobe,kobe
29098,konuklarımız,Our guests
29099,nesiniz,your generation
29100,çağırmadım,I didn't call
29101,dergiler,magazines
29102,doğup,Born
29103,durduruldu,stopped
29104,beceriyorsun,you fuck
29105,olmayacağından,because it will not
29106,bağın,your bond
29107,kurtaracaksın,you will save
29108,içkiden,drinking
29109,que,QUE
29110,ihtiyarın,your old man
29111,rejim,diet
29112,rolling,rolling
29113,yanığı,burn
29114,yaptığınıza,you did
29115,burunlu,nosed
29116,pornosu,porn
29117,geçirmekten,from spending
29118,mobilyalar,furniture
29119,baston,walking stick
29120,piyanoyu,piano
29121,boruyu,the pipe
29122,bulmalısınız,You should find
29123,seçeneklerimiz,Our options
29124,lukas,Lukas
29125,meksikalılar,Mexicans
29126,vurman,hitting
29127,çılgıncaydı,it was crazy
29128,dokunduğu,touched
29129,dunbar,Dunbar
29130,papazı,priest
29131,kıçımdan,from my ass
29132,İşaretimle,With my sign
29133,hortlak,ghost
29134,masrafı,expense
29135,sevdiler,they loved
29136,şöhreti,fame
29137,avukatların,your lawyers
29138,o.j.,O.J.
29139,kelimeye,to the word
29140,çöplüğe,to the dump
29141,uss,USS
29142,ölüyoruz,we are dying
29143,rastlamadım,I didn't come across
29144,okuyabilirsin,You can read
29145,okuyabiliyor,can read
29146,partideki,in the party
29147,ms.,MS.
29148,öldürülmesini,to be killed
29149,yeraltına,underground
29150,aramaz,unable to seek
29151,duramazsın,you can't stop
29152,çarçur,bawning
29153,imzaladın,you signed
29154,dolaşıyorsun,you walk around
29155,konuşmasak,if we don't talk
29156,İşçiler,Workers
29157,İsminizi,Your name
29158,yapamadın,You couldn't do it
29159,kontrolüne,to control
29160,İsmail,Ismail
29161,çubukları,rods
29162,haldun,Haldun
29163,yönetime,to management
29164,bahanen,excuse
29165,ettireceğim,I will have it
29166,mahallesinde,in the neighborhood
29167,harrington,Harrington
29168,güzelliğine,your beauty
29169,güvendiğin,you trust
29170,suçumdu,it was my fault
29171,bartlett,Bartlett
29172,sıhhiye,sanitary
29173,amacının,your purpose
29174,inşaa,build
29175,ülkemizde,in our country
29176,konuğu,guest
29177,iadesi,refund
29178,honda,Honda
29179,partisinin,your party
29180,hammer,hammer
29181,birliktelik,unity
29182,ambar,warehouse
29183,ağladın,you cried
29184,dönmeyeceğini,that you will not return
29185,hip,hip
29186,mülkiyet,ownership
29187,lehimize,in our favor
29188,mahoney,mahoney
29189,sayısının,number
29190,dövmeli,tattooed
29191,alexei,Alexei
29192,atf,ATF
29193,vermeyelim,let's not give
29194,utandırmak,embarrass
29195,halkımızın,Our people
29196,seveceksiniz,you will love
29197,görünürdü,it would appear
29198,verenler,giving
29199,skandalı,scandal
29200,aktörler,actors
29201,burgess,Burgess
29202,tepeyi,the hill
29203,diploma,diploma
29204,doğusunda,east of
29205,yemeğiniz,Your food
29206,bunaltıcı,oppressive
29207,vermekte,in giving
29208,hatunun,chick
29209,görüşüne,to your opinion
29210,uza,exhausted
29211,soktuğum,I stuck
29212,müzİğİ,music
29213,dayanak,rest
29214,çevirmeni,translator
29215,b.a.,B.A.
29216,varacağız,we will arrive
29217,tanıştığını,you met
29218,gizlenme,hiding
29219,geldiğinize,that you came
29220,şükrediyorum,I am thankful
29221,kabahat,fault
29222,umudumu,my hope
29223,istifade,utility
29224,edildiler,they were
29225,uydurdu,fabricated
29226,kristin,CRIST
29227,kitabımda,in my book
29228,kaçıranlar,kidnappers
29229,spora,to sports
29230,cesaretli,brave
29231,dişiler,females
29232,mevzusu,issue
29233,durumdaydım,I was in a situation
29234,sunset,Sunset
29235,eskimiş,stale
29236,yandım,I burned
29237,atılmak,be thrown out
29238,elka,Elka
29239,öderiz,we pay
29240,carlisle,Carlisle
29241,kütüphanesi,library
29242,didi,Didi
29243,bridge,Bridge
29244,beecher,Beecher
29245,çabalıyor,strives
29246,ahlaklı,ethical
29247,rüyam,my dream
29248,tehlikeliydi,was dangerous
29249,yoda,yoda
29250,davranacak,will behave
29251,tanıdınız,you know
29252,çekildiğini,that he was withdrawn
29253,ördekler,ducks
29254,görecektir,will see
29255,korucu,ranger
29256,anomali,anomaly
29257,fakirler,the poor
29258,düğmeleri,buttons
29259,zarara,damage
29260,gaston,gaston
29261,alkolü,alcohol
29262,omurilik,spinal cord
29263,şaraptan,from wine
29264,kalesine,to the castle
29265,rahatladı,relieved
29266,haylaz,naughty
29267,uzağında,away
29268,cayman,Cayman
29269,ayrica,moreover
29270,tanıştırdı,introduced
29271,projede,in the project
29272,ask,love
29273,şikayeti,complaint
29274,mikroskobik,microscopic
29275,ezekiel,ezekiel
29276,konuşmalısınız,You should talk
29277,omzunda,piggyback
29278,dalmış,immersed
29279,suların,your waters
29280,cesarete,courage
29281,çimen,grass
29282,sözlerim,my words
29283,kaderimi,my destiny
29284,full,full
29285,evlenmemiş,unmarried
29286,taşınmaya,to move
29287,örneklerini,examples
29288,içeyim,let me drink
29289,kulaklık,headphone
29290,olasılıklar,possibilities
29291,verde,verde
29292,patladığında,When it explodes
29293,düşünmüştün,you thought
29294,thunder,Thunder
29295,kopyaları,copies
29296,aşağılama,humiliation
29297,hendricks,Hendricks
29298,kameraman,cameraman
29299,teleskop,telescope
29300,geliştirmeye,to improve
29301,denemeliyim,I should try
29302,bilemiyoruz,we don't know
29303,düşünmenin,your thinking
29304,götürmüyorsun,you don't take it
29305,başbakanın,Prime Minister
29306,koktuğunu,that it smells
29307,rosto,roast
29308,ayarlıyorum,I'm setting
29309,babanızla,With your father
29310,edilmeye,to be
29311,lazımsın,you need
29312,hissetmediğini,that you don't feel
29313,ikişer,two
29314,ısmarlayacağım,I will ordered
29315,zincirleme,chain
29316,kullanmayacağım,I will not use
29317,rezillik,disgrace
29318,sandılar,they thought
29319,anlaşmada,in the agreement
29320,rüyalarını,your dreams
29321,georgetown,Georgetown
29322,gelebilmek,be able to come
29323,faraday,Faraday
29324,durumdasınız,You are in a situation
29325,kaftan,caftan
29326,kızgınlık,anger
29327,kahramanımız,Our Hero
29328,çekiliyoruz,We are withdrawing
29329,atlattın,you survived
29330,İntikamcılar,Revengers
29331,milwaukee,Milwaukee
29332,soykırım,genocide
29333,görevinizi,Your duty
29334,ayrılmasını,to leave
29335,beyrut,Beirut
29336,eğitilmiş,trained
29337,mann,mann
29338,yapıcaz,we will do
29339,aydınlat,illumination
29340,dönüşümü,transformation
29341,alacağımızı,we will get
29342,savaşarak,by fighting
29343,kovdular,they fired
29344,istiyordunuz,you wanted
29345,hayallerimin,Your dreams
29346,şüphelileri,suspects
29347,konuşurduk,we would talk
29348,polisine,to the police
29349,edilecektir,will be
29350,sesleniyor,calling out
29351,çözene,solve
29352,kandırıyorum,I'm fooling
29353,derinde,deeply
29354,ceketli,jacket
29355,carmine,Carmine
29356,facia,disaster
29357,bash,bash
29358,selina,selina
29359,örümcekler,spiders
29360,bağlanma,binding
29361,ade,ade
29362,çektiğimiz,what we took
29363,ayarlayayım,let me set
29364,kaltaklar,bolds
29365,kelimelerini,their words
29366,magda,magda
29367,sürücüyü,driver
29368,ortaokul,middle School
29369,sorularıma,To my questions
29370,konuşunca,When you talk
29371,kiera,Kiera
29372,evlenmesini,to marry
29373,hasret,longing
29374,katılacaksın,you will join
29375,hampshire,Hampshire
29376,keserek,by cutting
29377,yapıştır,Paste
29378,susam,Sesame
29379,edebiyatı,literature
29380,eğitmeni,instructor
29381,kestiğim,I cut off
29382,umutla,hopefully
29383,meghan,meghan
29384,acıyacak,pity
29385,takarım,I wear it
29386,içmekten,from drinking
29387,bitirmemiz,finish
29388,düşünmemeye,not to think
29389,muhafazakar,conservative
29390,saçmalıyor,It is ridiculous
29391,bilgiyle,with knowledge
29392,gemimi,my ship
29393,oranını,ratio
29394,yakınından,near
29395,çıngıraklı,rattling
29396,sandalyeler,chairs
29397,uhh,UHH
29398,renge,color
29399,rüyadan,from a dream
29400,kalmamalı,should not be left
29401,hidrolik,hydraulic
29402,gelmiyorsunuz,you don't come
29403,içermektedir,contains
29404,görüşmedik,we didn't meet
29405,sitesinde,on the site
29406,düşmanını,your enemy
29407,juanita,Juanita
29408,bileğim,my wrist
29409,nicola,nicola
29410,ayrım,distinction
29411,muyduk,Are we
29412,ayağında,on your feet
29413,tıkanmış,choked
29414,bozguna,bozguna
29415,yöntemimle,with my method
29416,kullanmayın,do not use
29417,curt,curt
29418,kapsül,capsule
29419,roxy,roxy
29420,memnunuz,we are pleased
29421,vücutları,their bodies
29422,başarabilirim,I can succeed
29423,doğayı,nature
29424,erdem,virtue
29425,topladın,you gathered
29426,ekipte,in the team
29427,kazanırsak,if we win
29428,restoranında,in the restaurant
29429,newark,Newark
29430,röntgeni,x -ray
29431,oyunumu,my game
29432,velayetini,custody
29433,yakalamam,I don't get caught
29434,kompleksi,complex
29435,gerçeğine,to the truth
29436,hattının,line
29437,edeceğinizi,you will
29438,dövüşte,in the fight
29439,beklemiyorduk,we did not expect
29440,kesilmesi,cutting
29441,parmaklıkların,Your bars
29442,öldürmemiş,unmistakable
29443,edeceğimiz,we will
29444,mağazadan,from store
29445,fazlalar,surplus
29446,oturabilirsiniz,You can sit
29447,göründüğün,your appearance
29448,stalingrad,stalingrad
29449,taşıyabilir,can carry
29450,motele,motor
29451,matrix,matrix
29452,gelmemiştim,I didn't come
29453,igor,igor
29454,arıyordur,looking for
29455,organizma,organism
29456,enfekte,infected
29457,ayakla,with foot
29458,İha,UAV
29459,kaydetmiş,recorded
29460,oynamadım,I didn't play
29461,gülüyorlar,they laugh
29462,pişiriyor,cooking
29463,hepten,altogether
29464,guido,guido
29465,fikrinin,your idea
29466,yapamayacağı,can not do
29467,bristol,bristol
29468,uzmanım,my expert
29469,edilmeyi,to be
29470,önerirsin,you recommend
29471,programından,from the program
29472,ninni,lullaby
29473,çiğnemek,break up
29474,anormallik,abnormality
29475,zürih,Zurich
29476,ölmüştün,you were dead
29477,tutukladılar,they arrested
29478,çağırmamı,my call
29479,boklu,shit
29480,çekinmeden,without hesitation
29481,osborne,OSBORNE
29482,parçalanıyor,falling apart
29483,yar,lover
29484,sanmayın,don't think
29485,ymiş,ymis
29486,payına,to your share
29487,bao,bao
29488,şam,Sam
29489,habercisi,harbinger
29490,düşersin,you fall
29491,yayınlanan,published
29492,tonya,tonya
29493,itiş,thrust
29494,cebe,pocket
29495,başlamışlar,they started
29496,kesmelisin,you should cut
29497,savaşla,by war
29498,ingiliz,British
29499,kurbanını,sacrifice
29500,şirketiyle,with the company
29501,yöntemlerini,methods
29502,noktasından,from the point
29503,şarkını,your song
29504,bırakmazlar,they don't leave
29505,god,God
29506,majestelerine,Majesty
29507,sanatını,your art
29508,kaçmanın,escaping
29509,bileği,wrist
29510,anladığında,When you understand
29511,lenin,Lenin
29512,mağazasında,in the store
29513,binen,riding
29514,kafeteryada,in the cafeteria
29515,masamın,Your table
29516,heves,enthusiasm
29517,inanırdı,Believed
29518,schultz,Schultz
29519,braddock,Braddock
29520,kanguru,kangaroo
29521,regan,regan
29522,düşüyoruz,we fall
29523,l.a,L.A
29524,olabilmesi,to be
29525,yaşandığı,lived
29526,kuruluşu,establishment
29527,şaşırmıştım,I was surprised
29528,sigortam,my insurance
29529,con,Con
29530,odağı,focus
29531,gidişini,your departure
29532,bağırdığını,shouting
29533,dã,in
29534,kaptana,captain
29535,harfli,letters
29536,yağar,rains
29537,kolların,your arms
29538,sevişmeyi,to make love
29539,hepatit,hepatitis
29540,sıkıp,squeeze
29541,hızıyla,at speed
29542,nedensiz,gratuitous
29543,ramos,ramos
29544,inanmış,convinced
29545,dondurmayı,ice cream
29546,çağırdık,we called
29547,kaçırıldığını,that he was kidnapped
29548,varil,barrel
29549,suçlanan,accused
29550,oyuncuyum,I am a player
29551,tolerans,tolerance
29552,kaşlarını,your eyebrows
29553,bahsetmemişti,did not mention
29554,üçgeni,triangle
29555,çocuklarda,in children
29556,öldüğüm,I died
29557,çekleri,checks
29558,dosta,to friendly
29559,hawking,Hawking
29560,saygılar,respects
29561,iyiyi,Good
29562,fallon,fallon
29563,çıkarılan,subtracted
29564,küreği,paddle
29565,konan,inserted
29566,düşene,falling
29567,gösterdiniz,you showed
29568,bağlayacak,tie
29569,kuzeydoğu,northeast
29570,görmemesi,not to see
29571,anneyle,with the mother
29572,okey,okey
29573,yapmayacağına,will not do
29574,kalkıştı,he took off
29575,vallaha,I swear
29576,bulamayacağı,that he cannot find
29577,İmparatorun,Your emperor
29578,boomer,boomer
29579,bozuktu,It was broken
29580,kirpi,Hedgehog
29581,sevkiyat,shipment
29582,düşünmelerini,to think
29583,pastanın,your cake
29584,başlatıldı,Started
29585,saklandım,I hid
29586,barcelona,Barcelona
29587,sanjay,Sanjay
29588,irmak,river
29589,lim,port
29590,sorunlarımızı,Our problems
29591,düzeltebilir,fix
29592,çalardı,he would play
29593,temelini,foundation
29594,loto,lotto
29595,ha-ha,ha-ha
29596,yapmasan,if you don't
29597,yürüyordu,was walking
29598,hoşlanmadın,you don't like
29599,çıkartabilir,can be removed
29600,tanımadan,without knowing
29601,akılsız,mindless
29602,icinde,inside
29603,mağaranın,cave
29604,yapti,made
29605,santrali,power plant
29606,saraydan,from the palace
29607,kokusuna,to the smell of
29608,guthrie,guthrie
29609,kapitalist,capitalist
29610,bağımız,Our connection
29611,inceledi,examined
29612,kaymış,shifted
29613,yönetimini,management
29614,düzenin,your order
29615,araştırıp,research and
29616,sütünü,Milk
29617,getirecekler,they will bring
29618,reddediyorsun,you reject
29619,itme,push
29620,döneceksiniz,you will return
29621,şaşkınlık,wonder
29622,eliniz,Your hand
29623,yaşayanların,Those who live
29624,kayayı,rock
29625,mystic,mystic
29626,hologram,hologram
29627,atmalısın,you should throw
29628,geçerler,they pass
29629,ağabeyimi,my brother
29630,şerefini,honor
29631,götürebiliriz,we can take it
29632,canavarsın,you are a monster
29633,efsaneler,Legends
29634,ibneler,fags
29635,birsürü,a lot
29636,becerdim,I fucked
29637,hemşireyi,nurse
29638,gemilere,to ships
29639,adalind,Adalind
29640,çelikten,steel
29641,gebelik,pregnancy
29642,roketi,rocket
29643,ağzınızı,Your mouth
29644,söyleyebilseydim,If I could say
29645,yakalanırsak,If we get caught
29646,dum,dum
29647,sikime,my dick
29648,götürürsün,you take it
29649,ayırıyor,separating
29650,giymişsin,you dressed
29651,dolardı,dollars
29652,sevin,rejoice
29653,yasaklama,prohibition
29654,bizimkinden,from ours
29655,ulaşabilirim,I can reach
29656,hilesi,cheat
29657,durmuyorsun,you don't stop
29658,toplayacak,gathering
29659,lılar,the people
29660,tavrını,his attitude
29661,dizin,knee
29662,uygarlık,civilization
29663,willoughby,Willoughby
29664,hatunla,with chick
29665,kalanının,the rest
29666,kariyerimin,my career
29667,kodlarını,codes
29668,denizkızı,Mermaid
29669,tesisin,Your facility
29670,lucie,Lucie
29671,İvan,Ivan
29672,kestane,Chestnut
29673,issız,unemployed
29674,southfork,SouthFork
29675,dezenfekte,disinfecting
29676,uçuşun,Your flight
29677,buluşabilir,can meet
29678,dizim,my knee
29679,yolumun,Your way
29680,özelliğini,feature
29681,saldırısını,its attack
29682,yamalak,pambled
29683,bora,bora
29684,görünüm,appearance
29685,savaşının,Your war
29686,yaşandığını,that
29687,şaşırıyorum,I'm surprised
29688,ayırmayın,do not separate
29689,lili,lili
29690,dip,bottom
29691,rakibim,my opponent
29692,tüfeğini,rifle
29693,oyunlarına,to games
29694,kımıldamasın,Don't move
29695,girdiğimi,that I entered
29696,İdaresi,Administration
29697,güneydeki,south
29698,yüzer,floating
29699,salonundaki,in the hall
29700,çekebilirsin,you can shoot
29701,berg,Berg
29702,sağolasın,Thanks
29703,verebilmek,be able to give
29704,viper,viper
29705,içerdi,it drink
29706,kulağında,in your ear
29707,soruyordum,I was asking
29708,kazanmasını,to win
29709,yalamak,to lick
29710,yalnızlığı,loneliness
29711,kaçmalıyız,we should escape
29712,kurtların,your wolves
29713,başlayalı,starting
29714,sergio,exhibition
29715,bilmiyordur,does not know
29716,yapışık,adherent
29717,isteniyor,desired
29718,kapıldı,caught
29719,sevmediği,does not like
29720,hazırlanalım,Let's prepare
29721,sevmezler,they don't like it
29722,galerisi,gallery
29723,başvurdum,I applied
29724,hissetmiyorsun,you don't feel
29725,fs6,FS6
29726,menüde,in the menu
29727,alçakça,cowardly
29728,kullanmadın,you did not use
29729,endişeleniyordum,I was worried
29730,bebeğiniz,your baby
29731,bankadaki,in the bank
29732,evlendiği,married
29733,yasaklandı,prohibited
29734,izleyebilirsin,you can watch
29735,tavuğun,Your chicken
29736,saklanmaya,to hide
29737,soyunun,your lineage
29738,önder,leader
29739,alelade,ordinary
29740,taşıdığın,you carry
29741,düşmanlarımız,Our enemies
29742,ebay,ebay
29743,mont,jacket
29744,ulaşmasını,to reach
29745,bulutlu,cloudy
29746,gözetlemek,observe
29747,katıyor,adds
29748,kurtardığım,I saved
29749,karnımı,my stomach
29750,korunmuş,protected
29751,sağında,on the right
29752,sampson,SAMPSON
29753,cevaplara,to answers
29754,olmamalıyım,I shouldn't be
29755,kaynağa,to the source
29756,kostümlü,costumed
29757,çevirebilir,translate
29758,edindi,acquired
29759,pansiyon,hostel
29760,beğenir,likes
29761,kuralına,to the rule
29762,kumaşı,fabric
29763,yayından,from the publication
29764,kardeşlerine,To your brothers
29765,bilemeyeceğiz,we will not know
29766,esprili,witty
29767,lanetlenmiş,damned
29768,gülümsüyorsun,you smile
29769,sinyalin,your signal
29770,çizimleri,drawings
29771,ömrünü,your life
29772,mri,mri
29773,ufukta,on the horizon
29774,tk,TK
29775,koyabilirim,I can put it
29776,krizin,your crisis
29777,anısı,memory
29778,lambaları,lamps
29779,dağıtın,distribute
29780,dürtü,impulse
29781,düşür,lower
29782,ölüyü,dead
29783,içebilirim,I can drink
29784,akbabalar,vultures
29785,koordine,coordinate
29786,yolundaki,on the way
29787,İlişkimizi,Our relationship
29788,kadınını,woman
29789,şövalyeleri,Knights
29790,takımımız,Our team
29791,seçime,selection
29792,düşerim,I fall
29793,kızmıştım,I was angry
29794,saklanamazsın,You can't hide
29795,hatırlamaz,unlikely
29796,üsteğmen,first lieutenant
29797,İşsiz,Unemployed
29798,batmadan,without sinking
29799,bekman,Bekman
29800,dinlemeyin,do not listen
29801,leary,leary
29802,gizliyor,hides
29803,zindan,dungeon
29804,taslağı,draft
29805,kalmayız,we don't stay
29806,yeminini,your oath
29807,meblağ,sum
29808,hissetmene,to feel
29809,kahya,steward
29810,dakiler,daks
29811,boğazında,in the throat
29812,crow,Crow
29813,üm,ummah
29814,marquez,Marquez
29815,dünyamıza,To our world
29816,döndüğünüzde,When you return
29817,nero,nero
29818,demi,demi
29819,ülkelerin,COUNTRIES
29820,batar,sink
29821,büyükannemi,my grandmother
29822,kullanılacağını,will be used
29823,kraliçeye,to the queen
29824,deydim,I said
29825,kaçırmadım,I did not miss
29826,gezegenimiz,Our planet
29827,karşımdan,from me
29828,tanımla,define
29829,kurtları,wolves
29830,kimlikler,identities
29831,adamakıllı,thoroughly
29832,satacağız,we will sell
29833,ekti,sown
29834,görmediğimiz,we don't see
29835,zavallılar,poor people
29836,ağacını,the tree
29837,seyircilerin,your audience
29838,öldürülmek,be killed
29839,bilgilerine,to your information
29840,cdc,CDC
29841,görünüyorlardı,they looked
29842,ness,ness
29843,kuraldır,is the rule
29844,payım,my share
29845,affedecek,will forgive
29846,gercek,real
29847,sarsıcı,jarring
29848,uygulanan,applied
29849,davranacaksın,you will behave
29850,odessa,Odessa
29851,ürpertiyor,shudder
29852,sevgimi,my love
29853,rezervasyonu,reservation
29854,sağlığa,to health
29855,kaybetmesi,loss
29856,senkronize,synchronous
29857,itiyor,pushing
29858,hmmm,hmmm
29859,düşünmedi,did not think
29860,muharebe,battle
29861,buluşacaktık,we would meet
29862,temizlenmesi,cleaning
29863,yapmaktır,is to do
29864,crusoe,Crusoe
29865,halden,in the case of
29866,om,om
29867,mendoza,mendoza
29868,birimin,Unit
29869,bağlayacağım,I will connect
29870,indireceğim,I will download
29871,ülken,your country
29872,mutluluğa,to happiness
29873,otoban,highway
29874,önemsediğini,that you care
29875,tahminime,my guess
29876,alain,Alain
29877,İmparatoru,Emperor
29878,istasyonundan,from the station
29879,gücünüzü,your strength
29880,şeytanları,demons
29881,özleyecek,will miss
29882,sevgilerle,with love
29883,açısını,angle
29884,izliyordun,you were watching
29885,üzerindeyim,I am on
29886,tempo,tempo
29887,orduyla,with the army
29888,örtmek,encase
29889,döver,beating
29890,görmüyordum,I didn't see
29891,ömrün,Your life
29892,windsor,Windsor
29893,lavabonun,Your sink
29894,derini,deep
29895,alçakgönüllü,humble
29896,edinmeye,to acquire
29897,mutlulukla,happily
29898,maskeni,mask
29899,poseidon,poseidon
29900,göstereceğini,that you show
29901,savunuyorsun,you defend
29902,hikâyen,your story
29903,tanışmadın,you did not meet
29904,cavanaugh,cavanaugh
29905,dinlediğini,that you listen
29906,maia,Maia
29907,mä,mä
29908,radyodan,on the radio
29909,çözülmüş,solved
29910,hızlıdır,is fast
29911,saçıma,my hair
29912,uğraştık,we tried
29913,bırakacaklar,they will leave
29914,aramalarıma,My calls
29915,sevme,liking
29916,anlatacağız,we will tell
29917,geliştirilmiş,developed
29918,buharlı,steamy
29919,tablet,tablet
29920,kendrick,kendrick
29921,kızkardeşi,sister
29922,korece,Korean
29923,pooja,poooja
29924,kanepenin,Sofa
29925,antrenör,coach
29926,ölçüm,measurement
29927,sıcakta,in the heat
29928,unutacaksın,you will forget
29929,paylaşma,sharing
29930,kelepçeler,handcuffs
29931,stresi,stress
29932,haftalarda,in weeks
29933,izlerdim,I would watch
29934,bizimdir,is ours
29935,yakalanırsan,If you get caught
29936,annenizle,With your mother
29937,reddettin,you rejected
29938,tetikleyici,trigger
29939,derinliklerinden,from depths
29940,tutabilmek,be able to keep
29941,dinlenmem,I don't rest
29942,merhameti,mercy
29943,gergindi,was nervous
29944,law,Lawy
29945,gücünde,in power
29946,indik,we landed
29947,dairesinin,apartment
29948,yor,tired
29949,kablosu,cable
29950,ölse,if you die
29951,kullanmışlar,they used
29952,vermemelisin,you should not give
29953,bayılırlar,they love
29954,yarışmanın,The competition
29955,etkilenen,affected
29956,mensubu,member
29957,ödünü,concealed
29958,göndermedi,did not send
29959,imaj,image
29960,bırakacağımı,I will quit
29961,golü,goal
29962,kalkıyorum,I'm getting up
29963,plân,plan
29964,isteyeceğiz,we will want
29965,balıkçılık,fishery
29966,verdiğimizi,what we gave
29967,kanalın,your channel
29968,tanıyıp,recognizing
29969,andreas,Andreas
29970,cevaplarını,answers
29971,siyaha,black
29972,kübalı,Cuban
29973,tarife,recipe
29974,çantanızı,your bag
29975,itirazım,my objection
29976,siteye,to the site
29977,bakkal,general store 
29978,öldürteceksin,you will have it kill
29979,tanıkların,Witnesses
29980,itirafı,confession
29981,kati,thick
29982,büyüler,spells
29983,kurbanlardan,from the victims
29984,arttırmaya,to increase
29985,kardeşinim,my brother
29986,kapaklı,lid
29987,konuşursa,if he speaks
29988,gerçeklerin,your facts
29989,geçirirken,while spending
29990,açınca,when you open
29991,kayıtların,Your records
29992,gezdim,I visited
29993,reddetme,refusal
29994,durdurmam,I don't stop
29995,çiçekli,flowering
29996,ölenlerin,Those who died
29997,paund,paunda
29998,şifreleme,encryption
29999,yöntemin,your method
30000,ölümünde,in death
30001,oluşunu,that
30002,olmayasın,Don't let it be
30003,yarışına,to the race
30004,dolaştığını,wandering
30005,keşfedilmemiş,undiscovered
30006,borsada,in the stock market
30007,tekiyle,with one
30008,istemezse,if he does not want
30009,İle,With
30010,boylarında,in the lengths
30011,soktuğunu,that you stuck
30012,getirirler,they bring
30013,kentin,The city
30014,himmler,Himmler
30015,muzdarip,stricken
30016,istasyondan,from the station
30017,gözlerimizi,Our eyes
30018,içtiniz,you drank
30019,barına,to the bar
30020,atlıyor,jumping
